id,name,package_carrier_type,shipper_package_code,ep_carrier_name
easypost_parcels_01,JumboDocument,easypost_ts,JumboDocument,DHL Express
easypost_services_02,JumboParcel,easypost_ts,JumboParcel,DHL Express
easypost_services_03,Document,easypost_ts,Document,DHL Express
easypost_services_04,DHLFlyer,easypost_ts,DHLFlyer,DHL Express
easypost_services_05,Domestic,easypost_ts,Domestic,DHL Express
easypost_services_06,ExpressDocument,easypost_ts,ExpressDocument,DHL Express
easypost_services_07,DHLExpressEnvelope,easypost_ts,DHLExpressEnvelope,DHL Express
easypost_services_08,JumboBox,easypost_ts,JumboBox,DHL Express
easypost_services_09,JumboJuniorDocument,easypost_ts,JumboJuniorDocument,DHL Express
easypost_services_10,JuniorJumboBox,easypost_ts,JuniorJumboBox,DHL Express
easypost_services_11,JumboJuniorParcel,easypost_ts,JumboJuniorParcel,DHL Express
easypost_services_12,OtherDHLPackaging,easypost_ts,OtherDHLPackaging,DHL Express
easypost_services_13,Parcel,easypost_ts,Parcel,DHL Express
easypost_services_14,YourPackaging,easypost_ts,YourPackaging,DHL Express
easypost_services_15,Letter,easypost_ts,Letter,DHL eCommerce
easypost_services_16,Flat,easypost_ts,Flat,DHL eCommerce
easypost_services_17,BPM,easypost_ts,BPM,DHL eCommerce
easypost_services_18,Parcel,easypost_ts,Parcel,DHL eCommerce
easypost_services_19,Parcel,easypost_ts,Parcel,Direct Link
easypost_services_20,Document,easypost_ts,Document,Direct Link
easypost_services_21,Parcel,easypost_ts,Parcel,DPD UK
easypost_services_22,Pallet,easypost_ts,Pallet,DPD UK
easypost_services_23,ExpressPak,easypost_ts,ExpressPak,DPD UK
easypost_services_24,FreightParcel,easypost_ts,FreightParcel,DPD UK
easypost_services_25,Freight,easypost_ts,Freight,DPD UK
easypost_services_26,ENVELOPE,easypost_ts,ENVELOPE,Estafeta
easypost_services_27,PARCEL,easypost_ts,PARCEL,Estafeta
easypost_services_28,Parcel,easypost_ts,Parcel,Fastway
easypost_services_29,Satchel,easypost_ts,Satchel,Fastway
easypost_services_30,FedExEnvelope,easypost_ts,FedExEnvelope,FedEx
easypost_services_31,FedExBox,easypost_ts,FedExBox,FedEx
easypost_services_32,FedExPak,easypost_ts,FedExPak,FedEx
easypost_services_33,FedExTube,easypost_ts,FedExTube,FedEx
easypost_services_34,FedEx10kgBox,easypost_ts,FedEx10kgBox,FedEx
easypost_services_35,FedEx25kgBox,easypost_ts,FedEx25kgBox,FedEx
easypost_services_36,FedExSmallBox,easypost_ts,FedExSmallBox,FedEx
easypost_services_37,FedExMediumBox,easypost_ts,FedExMediumBox,FedEx
easypost_services_38,FedExLargeBox,easypost_ts,FedExLargeBox,FedEx
easypost_services_39,FedExExtraLargeBox,easypost_ts,FedExExtraLargeBox,FedEx
easypost_services_40,Pak,easypost_ts,Pak,IMEX
easypost_services_41,Box,easypost_ts,Box,IMEX
easypost_services_42,Tube,easypost_ts,Tube,IMEX
easypost_services_43,CustomerSuppliedPackaging,easypost_ts,CustomerSuppliedPackaging,IMEX
easypost_services_44,Envelope,easypost_ts,Envelope,IMEX
easypost_services_45,NonStandardContainer,easypost_ts,NonStandardContainer,IMEX
easypost_services_46,LargePackage,easypost_ts,LargePackage,IMEX
easypost_services_47,Barrel,easypost_ts,Barrel,IMEX
easypost_services_48,Bottle,easypost_ts,Bottle,IMEX
easypost_services_49,Case,easypost_ts,Case,IMEX
easypost_services_50,Carton,easypost_ts,Carton,IMEX
easypost_services_51,Other,easypost_ts,Other,IMEX
easypost_services_52,Parcel,easypost_ts,Parcel,Interlink Express
easypost_services_53,Pallet,easypost_ts,Pallet,Interlink Express
easypost_services_54,ExpressPak,easypost_ts,ExpressPak,Interlink Express
easypost_services_55,FreightParcel,easypost_ts,FreightParcel,Interlink Express
easypost_services_56,Freight,easypost_ts,Freight,Interlink Express
easypost_services_57,Box,easypost_ts,Box,LaserShip
easypost_services_58,Tube,easypost_ts,Tube,LaserShip
easypost_services_59,Pak,easypost_ts,Pak,LaserShip
easypost_services_60,Envelope,easypost_ts,Envelope,LaserShip
easypost_services_61,Custom,easypost_ts,Custom,LaserShip
easypost_services_62,SmallParcel,easypost_ts,SmallParcel,Liefery
easypost_services_63,MediumParcel,easypost_ts,MediumParcel,Liefery
easypost_services_64,LargeParcel,easypost_ts,LargeParcel,Liefery
easypost_services_65,ExtraLargeParcel,easypost_ts,ExtraLargeParcel,Liefery
easypost_services_66,Letter,easypost_ts,Letter,OnTrac
easypost_services_67,Parcel,easypost_ts,Parcel,PostNL
easypost_services_68,Letter,easypost_ts,Letter,PostNL
easypost_services_69,CustomerPackaging,easypost_ts,CustomerPackaging,Purolator
easypost_services_70,ExpressPack,easypost_ts,ExpressPack,Purolator
easypost_services_71,ExpressBox,easypost_ts,ExpressBox,Purolator
easypost_services_72,ExpressEnvelope,easypost_ts,ExpressEnvelope,Purolator
easypost_services_73,Letter,easypost_ts,Letter,Royal Mail
easypost_services_74,LargeLetter,easypost_ts,LargeLetter,Royal Mail
easypost_services_75,SmallParcel,easypost_ts,SmallParcel,Royal Mail
easypost_services_76,MediumParcel,easypost_ts,MediumParcel,Royal Mail
easypost_services_77,ENVELOPE,easypost_ts,ENVELOPE,SprintShip
easypost_services_78,LARGE_BOX_OR_TOTE,easypost_ts,LARGE_BOX_OR_TOTE,SprintShip
easypost_services_79,MULTI_PACK,easypost_ts,MULTI_PACK,SprintShip
easypost_services_80,SMALL_OR_MEDIUM_BOX_OR_TOTE,easypost_ts,SMALL_OR_MEDIUM_BOX_OR_TOTE,SprintShip
easypost_services_81,PACKAGE,easypost_ts,PACKAGE,SprintShip
easypost_services_82,Parcel,easypost_ts,Parcel,TForce
easypost_services_83,Letter,easypost_ts,Letter,TForce
easypost_services_84,UPSLetter,easypost_ts,UPSLetter,UPS
easypost_services_85,UPSExpressBox,easypost_ts,UPSExpressBox,UPS
easypost_services_86,UPS25kgBox,easypost_ts,UPS25kgBox,UPS
easypost_services_87,UPS10kgBox,easypost_ts,UPS10kgBox,UPS
easypost_services_88,Tube,easypost_ts,Tube,UPS
easypost_services_89,Pak,easypost_ts,Pak,UPS
easypost_services_90,SmallExpressBox,easypost_ts,SmallExpressBox,UPS
easypost_services_91,MediumExpressBox,easypost_ts,MediumExpressBox,UPS
easypost_services_92,LargeExpressBox,easypost_ts,LargeExpressBox,UPS
easypost_services_93,Card,easypost_ts,Card,USPS
easypost_services_94,Letter,easypost_ts,Letter,USPS
easypost_services_95,Flat,easypost_ts,Flat,USPS
easypost_services_96,Parcel,easypost_ts,Parcel,USPS
easypost_services_97,LargeParcel,easypost_ts,LargeParcel,USPS
easypost_services_98,IrregularParcel,easypost_ts,IrregularParcel,USPS
easypost_services_99,FlatRateEnvelope,easypost_ts,FlatRateEnvelope,USPS
easypost_services_100,FlatRateLegalEnvelope,easypost_ts,FlatRateLegalEnvelope,USPS
easypost_services_101,FlatRatePaddedEnvelope,easypost_ts,FlatRatePaddedEnvelope,USPS
easypost_services_102,FlatRateGiftCardEnvelope,easypost_ts,FlatRateGiftCardEnvelope,USPS
easypost_services_103,FlatRateWindowEnvelope,easypost_ts,FlatRateWindowEnvelope,USPS
easypost_services_104,FlatRateCardboardEnvelope,easypost_ts,FlatRateCardboardEnvelope,USPS
easypost_services_105,SmallFlatRateEnvelope,easypost_ts,SmallFlatRateEnvelope,USPS
easypost_services_106,SmallFlatRateBox,easypost_ts,SmallFlatRateBox,USPS
easypost_services_107,MediumFlatRateBox,easypost_ts,MediumFlatRateBox,USPS
easypost_services_108,LargeFlatRateBox,easypost_ts,LargeFlatRateBox,USPS
easypost_services_109,RegionalRateBoxA,easypost_ts,RegionalRateBoxA,USPS
easypost_services_110,RegionalRateBoxB,easypost_ts,RegionalRateBoxB,USPS
easypost_services_111,LargeFlatRateBoardGameBox,easypost_ts,LargeFlatRateBoardGameBox,USPS
easypost_services_112,Softpack,easypost_ts,Softpack,USPS
